product_id,product_name,category,price,in_stock



243,Delta Tool 243,Beauty,47.57,495
244,Prime Device 244,Automotive,52.42,504
245,Ultra Gadget 245,Garden,36.07,136
246,Delta Gadget 246,Toys,19.79,988
247,Delta Widget 247,Clothing,49.51,1302
248,Beta Gadget 248,Clothing,68.11,1966
249,Alpha Widget 249,Clothing,28.18,163
250,Gamma Widget 250,Sports,40.15,1566
251,Delta Widget 251,Electronics,96.53,851
252,Alpha Gadget 252,Automotive,13.05,1046
253,Beta Widget 253,Electronics,44.4,1975
254,Ultra Tool 254,Toys,26.42,710
